  teamId  teamName                     submissionDate              score  
--------  ---------------------------  --------------------------  -----  
16081764  YUTO KOJIMA                  2026-07-21 00:00:27.586000  1.86   
16406081  Tecnod8.AI                   2026-07-20 00:01:06         1.61   
15632507  DhanaLakshmiMalla            2026-07-19 11:59:11         1.60   
15622956  ippeiogawa                   2026-07-20 05:13:52         1.58   
15488219  Mathurin Ache                2026-07-16 09:07:59.726000  1.56   
16032510  anngle                       2026-07-20 12:11:43.056000  1.56   
15609417  NoOneAhead                   2026-07-20 00:01:29.873000  1.56   
15525358  paul                         2026-07-20 09:18:27.983000  1.54   
15590762  Seok, Jeongeum               2026-07-20 11:40:08.676000  1.54   
15520570  Dinesh kumar Thiyagarajan    2026-07-20 05:34:10         1.50   
16513314  Artificial General illusion  2026-07-20 06:50:05         1.49   
15596749  hiranorm                     2026-07-20 15:00:08.493000  1.48   
15564514  暗黑AGI                        2026-07-21 01:16:43.153000  1.47   
15814821  Biubiu                       2026-07-20 15:14:20.073000  1.46   
15916756  MLRush                       2026-07-19 18:06:34.973000  1.46   
15572627  Arunodhayan                  2026-07-20 18:33:50.006000  1.46   
15486995  Tufa Labs                    2026-07-20 05:24:42         1.45   
15488665  Lonnie                       2026-07-20 02:30:05.673000  1.44   
16410614  Amil Gentili                 2026-07-21 01:44:11.003000  1.44   
15510081  Tshithihi                    2026-07-03 03:54:59.663000  1.44   
